smiles,yield
C(CCCO)c1ccccc1.c1cc(ccc1S(=O)(=O)F)Cl.C1CCC2=NCCCN2CC1,42
C(CCCO)c1ccccc1.c1ccnc(c1)S(=O)(=O)F.C1CCC2=NCCCN2CC1,48
C(CCCO)c1ccccc1.c1cc(ccc1C(F)(F)F)S(=O)(=O)F.C1CCC2=NCCCN2CC1,47
C(CCCO)c1ccccc1.c1cc(ccc1[N+](=O)[O-])S(=O)(=O)F.C1CCC2=NCCCN2CC1,52
C(CCCO)c1ccccc1.C(C(C(F)(F)S(=O)(=O)F)(F)F)(C(F)(F)F)(F)F.C1CCC2=NCCCN2CC1,52
C(CCCO)c1ccccc1.c1cc(ccc1S(=O)(=O)F)Cl.CN1CCCN2CCCN=C12,76
C(CCCO)c1ccccc1.c1ccnc(c1)S(=O)(=O)F.CN1CCCN2CCCN=C12,78
C(CCCO)c1ccccc1.c1cc(ccc1C(F)(F)F)S(=O)(=O)F.CN1CCCN2CCCN=C12,87
C(CCCO)c1ccccc1.c1cc(ccc1[N+](=O)[O-])S(=O)(=O)F.CN1CCCN2CCCN=C12,82
C(CCCO)c1ccccc1.C(C(C(F)(F)S(=O)(=O)F)(F)F)(C(F)(F)F)(F)F.CN1CCCN2CCCN=C12,80
C(CCCO)c1ccccc1.c1cc(ccc1S(=O)(=O)F)Cl.CC(C)(C)N=C(N(C)C)N(C)C,78
C(CCCO)c1ccccc1.c1ccnc(c1)S(=O)(=O)F.CC(C)(C)N=C(N(C)C)N(C)C,79
C(CCCO)c1ccccc1.c1cc(ccc1C(F)(F)F)S(=O)(=O)F.CC(C)(C)N=C(N(C)C)N(C)C,91
C(CCCO)c1ccccc1.c1cc(ccc1[N+](=O)[O-])S(=O)(=O)F.CC(C)(C)N=C(N(C)C)N(C)C,87
C(CCCO)c1ccccc1.C(C(C(F)(F)S(=O)(=O)F)(F)F)(C(F)(F)F)(F)F.CC(C)(C)N=C(N(C)C)N(C)C,84
C(CCCO)c1ccccc1.c1cc(ccc1S(=O)(=O)F)Cl.CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,87
C(CCCO)c1ccccc1.c1ccnc(c1)S(=O)(=O)F.CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,88
C(CCCO)c1ccccc1.c1cc(ccc1C(F)(F)F)S(=O)(=O)F.CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,96
