smiles,ee
OP1(=O)Oc2c(cc3c(c2c2c(O1)c(cc1c2cccc1)c1ccc(cc1)c1cc(cc(c1)C(F)(F)F)C(F)(F)F)cccc3)c1ccc(cc1)c1cc(cc(c1)C(F)(F)F)C(F)(F)F.O=C(c1ccccc1)/N=C/c1ccccc1.SC1CCCCC1,50
OP1(=O)Oc2c(cc3c(c2c2c(O1)c(cc1c2cccc1)c1ccc(cc1)S(F)(F)(F)(F)F)cccc3)c1ccc(cc1)S(F)(F)(F)(F)F.O=C(c1ccccc1)/N=C/c1ccc(cc1)C(F)(F)F.SC1CCCCC1,46
COc1ccc(cc1)Cc1cc2CCCCc2c2c1OP(=O)(O)Oc1c2c2CCCCc2cc1Cc1ccc(cc1)OC.O=C(c1ccccc1)/N=C/c1cccc2c1cccc2.SC1CCCCC1,2
OP1(=O)Oc2c(cc3c(c2c2c(O1)c(cc1c2CCCC1)c1cc(cc(c1)C(F)(F)F)C(F)(F)F)CCCC3)c1cc(cc(c1)C(F)(F)F)C(F)(F)F.Clc1ccc(c(c1)Cl)/C=N/C(=O)c1ccccc1.Sc1ccccc1,82
c1(cc2c(c3-c4c(c(cc5c4cccc5)c4ccccc4)OP(=O)(Oc13)O)cccc2)c1ccccc1.Clc1ccc(c(c1)Cl)/C=N/C(=O)c1ccccc1.Cc1ccccc1S,70
Cc1ccc(cc1)c1cc2ccccc2c2c1OP(=O)(O)Oc1c2c2ccccc2cc1c1ccc(cc1)C.O=C(c1ccccc1)/N=C/c1ccc(cc1)C(F)(F)F.CCS,40
OP1(=O)Oc2c(c3c(O1)c(cc1c3cccc1)c1c3ccccc3c(c3c1cccc3)c1ccc3c(c1)cccc3)c1ccccc1cc2c1c2ccccc2c(c2c1cccc2)c1ccc2c(c1)cccc2.O=C(c1ccccc1)/N=C/c1ccc(cc1)C(F)(F)F.SC1CCCCC1,80
COCc1cccc(c1)c1cc2ccccc2c2c1OP(=O)(O)Oc1c2c2ccccc2cc1c1cccc(c1)COC.O=C(c1ccccc1)/N=C/c1cccc2c1cccc2.SC1CCCCC1,46
OP1(=O)Oc2c(cc3c(c2c2c(O1)c(cc1c2cccc1)Cc1c2ccccc2cc2c1cccc2)cccc3)Cc1c2ccccc2cc2c1cccc2.O=C(c1ccccc1)/N=C/c1ccccc1.COc1ccc(cc1)S,44
OP1(=O)Oc2c(cc3c(c2c2c(O1)c(cc1c2cccc1)c1cccc(c1)c1ccc2c(c1)cccc2)cccc3)c1cccc(c1)c1ccc2c(c1)cccc2.COc1ccc(cc1)/C=N/C(=O)c1ccccc1.SC1CCCCC1,46
OP1(=O)Oc2c(c3c(O1)c(cc1c3cccc1)[Si](c1ccccc1)(c1ccccc1)C)c1ccccc1cc2[Si](c1ccccc1)(c1ccccc1)C.O=C(c1ccccc1)/N=C/c1ccccc1.COc1ccc(cc1)S,56
OP1(=O)Oc2c(c3c(O1)c(cc1c3cccc1)c1c3ccccc3c(c3c1cccc3)c1ccc3c(c1)cccc3)c1ccccc1cc2c1c2ccccc2c(c2c1cccc2)c1ccc2c(c1)cccc2.Clc1ccc(c(c1)Cl)/C=N/C(=O)c1ccccc1.Sc1ccccc1,92
OP1(=O)Oc2c(Cc3cc(cc(c3)C(F)(F)F)C(F)(F)F)cc3c(c2c2c(O1)c(Cc1cc(cc(c1)C(F)(F)F)C(F)(F)F)cc1c2CCCC1)CCCC3.O=C(c1ccccc1)/N=C/c1ccc(cc1)C(F)(F)F.Sc1ccccc1,52
COc1cc(F)c(c(c1)F)c1cc2ccccc2c2c1OP(=O)(O)Oc1c2c2ccccc2cc1c1c(F)cc(cc1F)OC.O=C(c1ccccc1)/N=C/c1ccccc1.Sc1ccccc1,86
OP1(=O)Oc2c(cc3c(c2c2c(O1)c(cc1c2cccc1)c1cc(cc(c1)C(C)(C)C)C(C)(C)C)cccc3)c1cc(cc(c1)C(C)(C)C)C(C)(C)C.Clc1ccc(c(c1)Cl)/C=N/C(=O)c1ccccc1.Cc1ccccc1S,80
CC(Oc1c(C)cc(cc1C)c1cc2ccccc2c2c1OP(=O)(O)Oc1c2c2ccccc2cc1c1cc(C)c(c(c1)C)OC(C)C)C.O=C(c1ccccc1)/N=C/c1ccc(cc1)C(F)(F)F.CCS,36
CCc1cc2CCCCc2c2c1OP(=O)(O)Oc1c2c2CCCCc2cc1CC.Clc1ccc(c(c1)Cl)/C=N/C(=O)c1ccccc1.SC1CCCCC1,4
OP1(=O)Oc2c(c3c(O1)c(cc1c3CCCC1)[Si](c1ccccc1)(c1ccccc1)c1ccccc1)c1CCCCc1cc2[Si](c1ccccc1)(c1ccccc1)c1ccccc1.Clc1ccc(c(c1)Cl)/C=N/C(=O)c1ccccc1.Cc1ccccc1S,10
COc1ccc(cc1)c1cc(cc(c1)c1ccc(cc1)OC)c1cc2ccccc2c2c1OP(=O)(O)Oc1c2c2ccccc2cc1c1cc(cc(c1)c1ccc(cc1)OC)c1ccc(cc1)OC.COc1ccc(cc1)/C=N/C(=O)c1ccccc1.SC1CCCCC1,60
CC(c1cc(cc(c1c1cc2ccccc2c2c1OP(=O)(O)Oc1c2c2ccccc2cc1c1c(cc(cc1C(C)C)c1ccc(cc1)C(C)(C)C)C(C)C)C(C)C)c1ccc(cc1)C(C)(C)C)C.Clc1ccc(c(c1)Cl)/C=N/C(=O)c1ccccc1.CCS,76
CC(c1cc(cc(c1c1cc2ccccc2c2c1OP(=O)(O)Oc1c2c2ccccc2cc1c1c(cc(cc1C(C)C)c1ccc(cc1)C(C)(C)C)C(C)C)C(C)C)c1ccc(cc1)C(C)(C)C)C.O=C(c1ccccc1)/N=C/c1ccc(cc1)C(F)(F)F.COc1ccc(cc1)S,98
FC(Oc1ccccc1c1cc2ccccc2c2c1OP(=O)(O)Oc1c2c2ccccc2cc1c1ccccc1OC(F)(F)F)(F)F.O=C(c1ccccc1)/N=C/c1ccccc1.Sc1ccccc1,86
OP1(=O)Oc2c(c3c(O1)c(cc1c3cccc1)[Si](c1ccccc1)(c1ccccc1)C)c1ccccc1cc2[Si](c1ccccc1)(c1ccccc1)C.COc1ccc(cc1)/C=N/C(=O)c1ccccc1.Cc1ccccc1S,62
Brc1cc2ccccc2c2c1OP(=O)(O)Oc1c2c2ccccc2cc1Br.O=C(c1ccccc1)/N=C/c1ccccc1.CCS,30
OP1(=O)Oc2c(cc3c(c2c2c(O1)c(cc1c2cccc1)c1ccc2c4c1C=CC1=CC=CC(C=C2)=C41)cccc3)c1ccc2c3c1C=CC1=C3C(=CC=C1)C=C2.O=C(c1ccccc1)/N=C/c1ccccc1.Sc1ccccc1,74
Clc1cc(Cl)c(c(c1)Cl)c1cc2CCCCc2c2c1OP(=O)(O)Oc1c2c2CCCCc2cc1c1c(Cl)cc(cc1Cl)Cl.O=C(c1ccccc1)/N=C/c1cccc2c1cccc2.CCS,61
